                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3113,                 2.4773,                 1.2177,                0.33054,                0.32392,                0.22949,                0.16803,                 1.1797,                 1.9429,                 1.1506,             0.00013707,             0.00013707,             0.00013707
                      2,                 1.1798,                 1.5534,                 1.1387,                0.43152,                0.42744,                0.37492,                0.27431,                 1.1354,                 1.4609,                 1.1289,             0.00027425,             0.00027425,             0.00027425
                      3,                 1.1458,                 1.3761,                 1.1189,                0.54928,                0.42044,                0.42947,                0.31633,                  1.113,                 1.4409,                  1.126,             0.00040959,             0.00040959,             0.00040959
                      4,                  1.114,                 1.2335,                 1.1127,                0.58165,                0.46417,                0.47422,                0.34267,                 1.1127,                 1.2772,                 1.1126,             0.00040874,             0.00040874,             0.00040874
                      5,                 1.0976,                 1.1554,                 1.1064,                0.63802,                0.49705,                0.54249,                0.39998,                  1.092,                 1.1896,                  1.112,             0.00040599,             0.00040599,             0.00040599
                      6,                 1.0817,                 1.0594,                 1.0982,                0.71806,                0.50234,                0.60795,                0.44559,                 1.0695,                 1.0784,                  1.096,             0.00040324,             0.00040324,             0.00040324
                      7,                 1.0593,                0.98681,                 1.0855,                0.70245,                0.53708,                0.64408,                0.47824,                 1.0588,                 1.0497,                  1.088,             0.00040049,             0.00040049,             0.00040049
                      8,                 1.0402,                 0.9181,                 1.0684,                0.74805,                 0.6063,                0.69567,                0.51191,                 1.0605,                0.94379,                 1.0814,             0.00039773,             0.00039773,             0.00039773
                      9,                 1.0332,                0.87024,                 1.0675,                 0.8079,                0.62938,                0.75451,                0.56557,                 1.0344,                0.84984,                 1.0822,             0.00039498,             0.00039498,             0.00039498
                     10,                 1.0192,                 0.8139,                 1.0692,                0.80383,                0.63621,                0.75213,                0.55715,                 1.0499,                0.88561,                 1.0852,             0.00039223,             0.00039223,             0.00039223
                     11,                 1.0174,                0.79554,                 1.0646,                0.83268,                0.67123,                0.79542,                0.59069,                  1.025,                0.82416,                  1.065,             0.00038948,             0.00038948,             0.00038948
                     12,                0.99545,                0.74345,                 1.0478,                0.82816,                0.63817,                 0.7789,                 0.5833,                 1.0215,                0.83905,                   1.06,             0.00038673,             0.00038673,             0.00038673
                     13,                0.98401,                0.73179,                 1.0507,                0.84704,                0.69067,                0.80698,                0.59871,                 1.0167,                 0.7711,                 1.0599,             0.00038397,             0.00038397,             0.00038397
                     14,                0.97348,                0.70121,                 1.0381,                0.86086,                0.70695,                0.84771,                  0.638,                 1.0013,                0.74146,                 1.0556,             0.00038122,             0.00038122,             0.00038122
                     15,                0.96578,                0.68542,                 1.0443,                0.82865,                 0.7648,                0.83481,                0.62689,                 1.0047,                0.73402,                 1.0565,             0.00037847,             0.00037847,             0.00037847
                     16,                0.95757,                0.65595,                  1.033,                0.86757,                0.76458,                0.86399,                0.64851,                  1.011,                0.69186,                 1.0493,             0.00037572,             0.00037572,             0.00037572
                     17,                0.94812,                0.64197,                 1.0326,                0.87294,                0.79919,                0.87986,                0.65488,                0.99411,                0.65255,                 1.0506,             0.00037296,             0.00037296,             0.00037296
                     18,                0.94311,                0.62493,                 1.0328,                0.88755,                0.77957,                0.87587,                 0.6661,                0.99446,                0.69307,                   1.05,             0.00037021,             0.00037021,             0.00037021
                     19,                0.93623,                0.61146,                 1.0255,                0.88116,                0.78923,                0.88721,                0.66389,                0.99936,                0.65134,                 1.0592,             0.00036746,             0.00036746,             0.00036746
                     20,                0.92367,                0.60357,                 1.0228,                0.90101,                0.80273,                0.88642,                0.66419,                 1.0045,                0.64291,                 1.0583,             0.00036471,             0.00036471,             0.00036471
                     21,                0.92111,                0.59462,                 1.0228,                0.90651,                0.81022,                0.89461,                0.67734,                  0.981,                0.65449,                 1.0454,             0.00036196,             0.00036196,             0.00036196
                     22,                0.90305,                0.57377,                 1.0128,                0.90363,                0.82617,                0.89999,                0.68653,                0.96578,                0.66148,                 1.0382,              0.0003592,              0.0003592,              0.0003592
                     23,                0.89841,                 0.5601,                 1.0067,                0.92207,                0.82711,                0.90796,                0.69131,                0.96779,                0.61565,                 1.0396,             0.00035645,             0.00035645,             0.00035645
                     24,                0.89274,                0.55922,                 1.0072,                0.90395,                0.81971,                0.90091,                0.68027,                0.96444,                0.63441,                 1.0296,              0.0003537,              0.0003537,              0.0003537
                     25,                0.89399,                0.55627,                 1.0104,                0.91756,                0.83594,                0.90824,                0.69352,                 0.9711,                0.60797,                 1.0515,             0.00035095,             0.00035095,             0.00035095
                     26,                0.87948,                0.53533,                0.99219,                0.92404,                0.84445,                  0.917,                0.70312,                0.95793,                0.58947,                 1.0318,              0.0003482,              0.0003482,              0.0003482
                     27,                0.87374,                  0.536,                 0.9948,                 0.9078,                0.84179,                0.91077,                0.69791,                0.95628,                0.61238,                 1.0376,             0.00034544,             0.00034544,             0.00034544
                     28,                0.86448,                0.52653,                0.99751,                0.92664,                0.85352,                0.91881,                0.70323,                0.95628,                0.59696,                 1.0353,             0.00034269,             0.00034269,             0.00034269
                     29,                0.87001,                0.52209,                 0.9944,                 0.9248,                0.87004,                0.92572,                 0.7155,                0.94351,                0.56292,                 1.0298,             0.00033994,             0.00033994,             0.00033994
                     30,                0.85591,                0.51268,                0.99383,                0.93557,                0.82733,                0.92325,                0.70624,                0.94254,                0.59574,                 1.0264,             0.00033719,             0.00033719,             0.00033719
                     31,                0.85218,                0.50687,                0.99114,                0.93278,                0.84067,                0.92035,                0.69939,                0.95523,                0.56466,                 1.0336,             0.00033443,             0.00033443,             0.00033443
                     32,                0.84887,                0.50194,                0.98324,                0.92046,                0.84596,                0.92404,                0.71081,                0.94194,                0.58297,                 1.0287,             0.00033168,             0.00033168,             0.00033168
                     33,                0.84288,                0.49929,                0.97909,                0.93381,                0.86785,                0.92685,                0.70965,                0.94806,                0.54904,                 1.0252,             0.00032893,             0.00032893,             0.00032893
